elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,282160.3960396039,276108.91089108906,286772.27722772275,3202345.6,3202288.0,3202448.0,1938670.4,1938628.0,1938760.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.2,331390.099009901,327019.801980198,333128.71287128713,3205537.6,3205412.0,3205644.0,1941838.4,1941712.0,1941956.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.3,336912.8712871287,333851.48514851485,338851.48514851485,3208826.4,3208576.0,3208992.0,1945123.2,1944924.0,1945244.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.4,337710.396039604,336841.58415841585,338673.26732673263,3212115.0,3211832.0,3212284.0,1948438.0,1948196.0,1948600.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.41,336000.0,336000.0,336000.0,3212076.0,3212076.0,3212076.0,1948352.0,1948352.0,1948352.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.51,338110.30867792654,335801.98019801977,339960.3960396039,3215499.2,3215220.0,3215788.0,1951806.4,1951580.0,1952092.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.61,337038.1091050281,334490.1960784314,340108.91089108906,3218789.6,3218420.0,3219144.0,1955087.2,1954800.0,1955436.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.71,334804.5428072219,333900.9900990099,335910.8910891089,3222003.2,3221716.0,3222312.0,1958309.6,1958080.0,1958600.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.81,337364.35643564357,334732.6732673267,338920.7920792079,3225224.0,3224860.0,3225640.0,1961533.6,1961228.0,1961940.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.91,336871.96660842554,333960.78431372554,339059.40594059404,3228532.0,3228160.0,3228952.0,1964846.4,1964524.0,1965264.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.01,336640.67171423027,333460.78431372554,339514.8514851485,3231875.2,3231476.0,3232380.0,1968191.2,1967836.0,1968716.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.11,340422.13162492716,336823.5294117647,344029.702970297,3235202.4,3234716.0,3235696.0,1971502.4,1971064.0,1972000.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.21,342108.91089108906,342108.91089108906,342108.91089108906,3238272.0,3238272.0,3238272.0,1974600.0,1974600.0,1974600.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.22,338665.18637157837,336284.31372549024,342396.03960396035,3238534.0,3237904.0,3238984.0,1974839.0,1974272.0,1975296.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.31,338792.07920792076,338792.07920792076,338792.07920792076,3241624.0,3241624.0,3241624.0,1977912.0,1977912.0,1977912.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.32,336834.74082702387,335514.8514851485,338485.14851485146,3241869.0,3241172.0,3242384.0,1978173.0,1977540.0,1978684.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.42,338360.3960396039,335277.2277227723,339960.3960396039,3245122.4,3244460.0,3245672.0,1981426.4,1980816.0,1981980.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.52,337032.226752087,333941.17647058825,340435.64356435643,3248472.8,3247836.0,3248912.0,1984774.4,1984184.0,1985228.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.62,339636.7695593089,336643.5643564356,342009.900990099,3251832.8,3251276.0,3252208.0,1988140.8,1987624.0,1988504.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.72,338267.3267326733,335742.57425742573,341039.603960396,3255130.4,3254544.0,3255556.0,1991433.6,1990896.0,1991860.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.82,335789.6524946612,333970.2970297029,337396.03960396035,3258441.6,3257968.0,3258796.0,1994755.2,1994324.0,1995092.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.92,335490.7784896137,331019.6078431373,339178.21782178216,3261562.6666666665,3261184.0,3261792.0,1997868.0,1997540.0,1998092.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.93,340271.79188507085,337098.0392156863,343445.54455445544,3262126.0,3262064.0,3262188.0,1998428.0,1998364.0,1998492.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.02,336914.1914191419,335693.06930693064,339356.4356435643,3264830.6666666665,3264532.0,3265040.0,2001140.0,2000880.0,2001344.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.03,338569.30693069304,337475.24752475246,339663.3663366336,3265400.0,3265260.0,3265540.0,2001698.0,2001552.0,2001844.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.12,338029.702970297,338029.702970297,338029.702970297,3268236.0,3268236.0,3268236.0,2004532.0,2004532.0,2004532.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.13,338354.8582799456,336108.91089108906,339455.44554455444,3268339.0,3267836.0,3268672.0,2004637.0,2004192.0,2004968.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.23,335916.8122694623,333019.6078431373,339574.2574257426,3271589.6,3271136.0,3272004.0,2007892.0,2007512.0,2008304.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.33,339211.8811881188,335683.16831683164,341396.03960396035,3274945.6,3274604.0,3275308.0,2011266.4,2010960.0,2011636.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.43,340436.6336633663,337128.71287128713,342049.50495049503,3278344.8,3278008.0,3278704.0,2014648.0,2014352.0,2015016.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.53,338181.28518734226,336264.70588235295,341673.26732673263,3281728.0,3281376.0,3282128.0,2018024.0,2017640.0,2018428.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.63,338991.36090079596,332911.76470588235,344168.31683168316,3285018.4,3284628.0,3285404.0,2021327.2,2020892.0,2021716.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.73,336765.67656765674,336257.4257425742,337178.21782178216,3288124.0,3287900.0,3288296.0,2024433.3333333333,2024164.0,2024616.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.74,336700.64065230056,333470.58823529416,339930.6930693069,3288752.0,3288704.0,3288800.0,2025050.0,2025016.0,2025084.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.83,335993.39933993394,333643.5643564356,337386.13861386135,3291414.6666666665,3291172.0,3291616.0,2027732.0,2027452.0,2027936.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.84,340366.33663366333,338198.0198019802,342534.6534653465,3292112.0,3291968.0,3292256.0,2028412.0,2028280.0,2028544.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.94,335790.9143855562,334539.2156862745,337078.43137254904,3295019.2,3294588.0,3295588.0,2031328.0,2030872.0,2031868.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
3.04,337991.12793632306,335138.61386138614,340465.34653465345,3298224.0,3297736.0,3298784.0,2034526.4,2034008.0,2035076.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
3.14,336633.6633663366,335029.702970297,339574.2574257426,3301538.4,3300992.0,3302112.0,2037844.0,2037264.0,2038416.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
3.24,335527.3539118618,333333.3333333334,337950.4950495049,3304809.6,3304228.0,3305376.0,2041110.4,2040488.0,2041660.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
3.34,338570.297029703,336495.04950495047,340138.61386138614,3308136.0,3307620.0,3308668.0,2044445.6,2043900.0,2044948.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
3.44,340180.8386721025,336099.00990099006,342861.38613861386,3311483.2,3310848.0,3312100.0,2047792.8,2047128.0,2048368.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
3.54,339041.5776871804,338356.4356435643,340366.33663366333,3314597.3333333335,3314228.0,3315084.0,2050912.0,2050492.0,2051404.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
3.55,336617.64705882355,336166.6666666667,337068.6274509804,3315110.0,3314884.0,3315336.0,2051416.0,2051196.0,2051636.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
3.65,338274.9369054552,333156.8627450981,340693.06930693064,3318156.8,3317504.0,3318668.0,2054461.6,2053776.0,2054964.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
3.75,337372.1607454863,334712.8712871287,341029.702970297,3321460.0,3320880.0,3321984.0,2057771.2,2057168.0,2058276.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
3.85,339256.41622985824,336509.8039215687,341950.4950495049,3324749.6,3324020.0,3325288.0,2061058.4,2060304.0,2061592.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
3.95,336276.25703746843,333490.1960784314,338148.51485148515,3327979.2,3327240.0,3328576.0,2064293.6,2063500.0,2064880.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.05,334881.4987381091,333257.4257425742,337574.2574257426,3331254.4,3330560.0,3331896.0,2067557.6,2066836.0,2068172.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.15,338485.14851485146,335158.41584158415,340425.7425742574,3334260.0,3333752.0,3334816.0,2070565.3333333333,2070016.0,2071124.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.16,337864.1040574646,335450.98039215687,340277.2277227723,3334994.0,3334788.0,3335200.0,2071298.0,2071084.0,2071512.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.25,336223.35468841,333323.5294117647,339762.37623762374,3337636.0,3337060.0,3338224.0,2073950.6666666667,2073324.0,2074548.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.26,339153.4653465346,338801.98019801977,339504.9504950495,3338334.0,3338080.0,3338588.0,2074638.0,2074380.0,2074896.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.35,336026.9850514463,332549.01960784313,339504.9504950495,3341222.0,3340936.0,3341508.0,2077556.0,2077308.0,2077804.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.36,336337.2160745486,334762.37623762374,338425.7425742574,3341214.6666666665,3340180.0,3342084.0,2077513.3333333333,2076476.0,2078380.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.45,338633.6633663366,338633.6633663366,338633.6633663366,3344764.0,3344764.0,3344764.0,2081068.0,2081068.0,2081068.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.46,336451.6841390021,334843.137254902,338059.40594059404,3344473.0,3343596.0,3345504.0,2080774.0,2079852.0,2081804.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.55,335000.0,335000.0,335000.0,3348144.0,3348144.0,3348144.0,2084464.0,2084464.0,2084464.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.56,336831.68316831684,333623.7623762376,338861.38613861386,3347749.0,3346892.0,3348808.0,2084060.0,2083188.0,2085088.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.66,336844.63211026986,332862.7450980392,339455.44554455444,3351138.4,3350136.0,3352176.0,2087440.8,2086396.0,2088468.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.76,339192.0792079208,337861.38613861386,339762.37623762374,3354508.8,3353448.0,3355688.0,2090808.8,2089720.0,2091972.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.86,336564.1622985828,334098.0392156863,338940.5940594059,3357793.6,3356876.0,3358916.0,2094085.6,2093136.0,2095188.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.96,336846.2191807416,333970.58823529416,340099.00990099006,3360815.0,3360152.0,3361496.0,2097131.0,2096404.0,2097808.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
4.97,334460.78431372554,334460.78431372554,334460.78431372554,3362104.0,3362104.0,3362104.0,2098392.0,2098392.0,2098392.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.06,337318.06121788645,335627.45098039217,338920.7920792079,3364037.3333333335,3363384.0,3364796.0,2100352.0,2099656.0,2101104.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.07,339237.62376237626,338732.6732673267,339742.57425742573,3364928.0,3364464.0,3365392.0,2101212.0,2100768.0,2101656.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.16,335554.45544554456,335554.45544554456,335554.45544554456,3368108.0,3368108.0,3368108.0,2104420.0,2104420.0,2104420.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.17,336475.82993593474,333764.70588235295,338980.19801980193,3367538.0,3366564.0,3368732.0,2103847.0,2102848.0,2105020.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.26,337742.57425742573,337742.57425742573,337742.57425742573,3371312.0,3371312.0,3371312.0,2107628.0,2107628.0,2107628.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.27,334709.7650941565,331715.6862745098,337762.37623762374,3370786.0,3369708.0,3372028.0,2107089.0,2105968.0,2108308.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.37,335695.0300912444,330539.2156862745,340009.900990099,3374153.6,3372972.0,3375248.0,2110460.0,2109236.0,2111532.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.47,337246.49582605314,335519.6078431373,339227.7227722772,3377450.4,3376156.0,3378612.0,2113760.8,2112420.0,2114900.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.57,337122.2869345758,334127.45098039217,338623.7623762376,3380701.6,3379392.0,3381928.0,2116996.8,2115640.0,2118196.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.67,337489.5748398369,334774.50980392157,341000.0,3383973.6,3382576.0,3385340.0,2120276.8,2118840.0,2121636.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.77,336182.3189671908,335306.9306930693,337148.51485148515,3386847.0,3385744.0,3387404.0,2123155.0,2121984.0,2123724.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.78,338613.8613861386,338613.8613861386,338613.8613861386,3388764.0,3388764.0,3388764.0,2125076.0,2125076.0,2125076.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.87,339986.79867986793,338188.11881188117,341950.4950495049,3389996.0,3389080.0,3390720.0,2126305.3333333335,2125332.0,2127032.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.88,338514.705882353,337882.3529411765,339147.05882352946,3391454.0,3390684.0,3392224.0,2127744.0,2126988.0,2128500.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.97,337459.5224228305,335663.3663366336,339950.4950495049,3393341.3333333335,3392344.0,3394060.0,2129648.0,2128608.0,2130356.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
5.98,342133.6633663366,341574.2574257426,342693.06930693064,3394716.0,3393956.0,3395476.0,2131004.0,2130240.0,2131768.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.08,337222.4422442244,332666.6666666667,340386.13861386135,3397154.4,3395696.0,3398864.0,2133457.6,2131956.0,2135148.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.18,337310.5416423995,333811.8811881188,340960.3960396039,3400491.2,3398980.0,3402244.0,2136792.0,2135244.0,2138528.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.28,338828.77111240535,337217.8217821782,340237.6237623762,3403757.6,3402180.0,3405616.0,2140064.8,2138464.0,2141900.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.38,337217.66647252964,334500.0,342702.9702970297,3407033.6,3405400.0,3408964.0,2143342.4,2141676.0,2145252.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.48,337744.2326732673,336670.0,340059.40594059404,3409759.0,3408532.0,3410516.0,2146074.0,2144820.0,2146836.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.49,336774.50980392157,336774.50980392157,336774.50980392157,3412248.0,3412248.0,3412248.0,2148556.0,2148556.0,2148556.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.58,338731.24150650355,337578.43137254904,339207.9207920792,3413047.0,3411792.0,3413944.0,2149356.0,2148060.0,2150256.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.59,342920.7920792079,342920.7920792079,342920.7920792079,3415516.0,3415516.0,3415516.0,2151804.0,2151804.0,2151804.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.68,339232.89976056427,337431.37254901964,340455.44554455444,3415968.0,3414996.0,3416820.0,2152272.0,2151268.0,2153132.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.69,337965.6862745098,335637.2549019608,340294.11764705885,3417960.0,3417104.0,3418816.0,2154260.0,2153420.0,2155100.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.78,338326.7326732673,338326.7326732673,338326.7326732673,3420100.0,3420100.0,3420100.0,2156440.0,2156440.0,2156440.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.79,338682.9741797709,334078.43137254904,340900.9900990099,3420014.0,3418196.0,3422116.0,2156318.0,2154480.0,2158404.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.88,333196.0784313726,333196.0784313726,333196.0784313726,3423544.0,3423544.0,3423544.0,2159860.0,2159860.0,2159860.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.89,339433.1683168317,337534.6534653465,341990.099009901,3423323.0,3421412.0,3425432.0,2159629.0,2157692.0,2161736.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
6.99,336957.96932634444,334647.05882352946,338930.6930693069,3426642.4,3424724.0,3428720.0,2162939.2,2160980.0,2165008.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.09,337690.31256066787,332392.1568627451,340000.0,3429920.8,3427908.0,3432092.0,2166238.4,2164176.0,2168392.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.19,336297.0297029703,334000.0,337366.33663366333,3432688.0,3431092.0,3433800.0,2168989.0,2167336.0,2170100.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.2,338168.31683168316,338168.31683168316,338168.31683168316,3435308.0,3435308.0,3435308.0,2171604.0,2171604.0,2171604.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.29,334473.7429625315,332607.84313725494,336623.7623762376,3435938.0,3434220.0,3437096.0,2172254.0,2170504.0,2173404.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.3,336107.84313725494,336107.84313725494,336107.84313725494,3438544.0,3438544.0,3438544.0,2174824.0,2174824.0,2174824.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.39,333592.82987122244,331931.37254901964,335405.94059405936,3438858.6666666665,3437472.0,3440092.0,2175165.3333333335,2173736.0,2176416.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.4,336737.62376237626,336148.51485148515,337326.7326732673,3441066.0,3440336.0,3441796.0,2177358.0,2176636.0,2178080.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.49,339678.21782178216,338990.099009901,340366.33663366333,3442830.0,3442272.0,3443388.0,2179162.0,2178608.0,2179716.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.5,337917.4917491749,334821.7821782178,339831.6831683168,3443089.3333333335,3440600.0,3445048.0,2179382.6666666665,2176884.0,2181340.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.59,336890.1669578722,335186.2745098039,338594.0594059406,3446140.0,3445440.0,3446840.0,2182456.0,2181796.0,2183116.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.6,336042.54837248434,333578.43137254904,337529.4117647059,3446329.3333333335,3443916.0,3448280.0,2182609.3333333335,2180180.0,2184576.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.7,337803.1838477965,336392.1568627451,339000.0,3449526.4,3447208.0,3451560.0,2185834.4,2183472.0,2187852.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.8,339096.8161522035,335107.84313725494,340841.58415841585,3452731.2,3450376.0,3454780.0,2189032.8,2186648.0,2191052.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.9,336455.3242088915,333127.45098039217,339158.41584158415,3455454.0,3453560.0,3456572.0,2191769.0,2189824.0,2192900.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
7.91,333696.0784313726,333696.0784313726,333696.0784313726,3458088.0,3458088.0,3458088.0,2194372.0,2194372.0,2194372.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
8.0,336707.45971655985,334504.9504950495,338138.61386138614,3458707.0,3456892.0,3459852.0,2195010.0,2193148.0,2196156.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
8.01,340247.5247524752,340247.5247524752,340247.5247524752,3461612.0,3461612.0,3461612.0,2197904.0,2197904.0,2197904.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
8.1,335472.3031126642,331892.1568627451,337782.17821782175,3461648.0,3460140.0,3463116.0,2197956.0,2196396.0,2199436.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
8.11,337603.96039603953,337405.94059405936,337801.98019801977,3464050.0,3463120.0,3464980.0,2200360.0,2199444.0,2201276.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
8.2,336389.43894389435,333306.9306930693,337970.2970297029,3464913.3333333335,3463356.0,3466424.0,2201226.6666666665,2199640.0,2202736.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
8.21,335740.1960784314,335617.64705882355,335862.7450980392,3467332.0,3466400.0,3468264.0,2203644.0,2202716.0,2204572.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
8.3,335543.81026337924,334450.98039215687,337405.94059405936,3468190.6666666665,3466712.0,3469616.0,2204494.6666666665,2202976.0,2205920.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
8.31,338579.20792079205,338138.61386138614,339019.801980198,3470604.0,3469576.0,3471632.0,2206910.0,2205896.0,2207924.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
8.4,339712.8712871287,339712.8712871287,339712.8712871287,3472916.0,3472916.0,3472916.0,2209224.0,2209224.0,2209224.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
8.41,338826.7326732673,336950.4950495049,340435.64356435643,3472294.0,3469924.0,3474896.0,2208592.0,2206180.0,2211188.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
8.51,335318.05474665115,332607.84313725494,337871.28712871287,3475697.6,3473212.0,3478208.0,2212004.0,2209488.0,2214476.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
8.61,336416.11337604345,333862.7450980392,338287.1287128713,3479012.0,3476412.0,3481508.0,2215310.4,2212680.0,2217772.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
